Voltage,P1,P2,P3,P4,P5,P6,P7,P8,P9
-0.6,-43,-38,-41,-49,-6,-41,-43,-37,-42
-0.5,-40,-44,-48,-45,-5,-45,-51,-45,-50
-0.4,-66,-50,-55,-51,-8,-51,-67,-50,-65
-0.3,-42,-46,-49,-44,0,-44,-49,-43,-47
-0.2,-38,-34,-40,-34,3,-35,-42,-33,-39
-0.1,-30,-24,-27,-25,24,-27,-30,-25,-28
0,-20,-16,-20,-17,75,-16,-20,-16,-18
0.05,-11,-9,-12,-9,82,-10,-10,-9,-11
0.1,-8,-6,-7,-5,134,-6,-7,-4,-4
0.2,-1,4,0.5,3.5,163,3,-0.5,1,0
0.3,1.5,5,2,4,112,3.5,2,6,3
0.4,2.1,3,2,3.6,52,2.9,2.1,3.4,2.1
0.5,0.8,1.1,1,1.3,15,0.9,0.9,1.7,0.8
0.6,0.14,0.16,0.12,0.16,1.66,0.13,0.11,0.22,0.13
0.7,-20,-16,-20,-16,144,-16,-20,-16,-20
0.8,-20,-16,-20,-16,160,-16,-20,-16,-20
